FOODID;EUFDNAME;BESTLOC;ACQTYPE;METHTYPE
1;ENERC;1698,30;S;S
1;CHOAVL;99,900;S;S
1;FAT;0;F;E
1;PROT;0;L;P
1;FIBC;0;S;U
1;STARCH;0;S;U
1;SUGAR;99,900;S;S
1;RIBF;0;F;E
1;THIA;0;F;E
1;VITC;0;F;E
1;VITA;0;S;S
1;VITD;0;F;E
1;VITE;0;S;S
1;CA;0,40;F;E
1;FE;0,060;F;E
1;NA;0,10;F;E
1;FACIDCTG;0;S;S
1;FAPU;0;S;S
1;FAMCIS;0;S;S
1;FASAT;0;S;S
2;ENERC;1696,60;S;S
2;CHOAVL;99,800;S;S
2;FAT;0;F;E
2;PROT;0;S;S
2;FIBC;0;S;U
2;STARCH;0;S;U
2;SUGAR;99,800;S;S
2;RIBF;0;F;E
2;THIA;0;F;E
2;VITC;0;F;E
2;VITA;0;S;S
2;VITD;0;F;E
2;VITE;0;S;S
2;CA;0,10;F;E
2;FE;0,070;F;E
2;NA;0,10;F;E
2;FACIDCTG;0;S;S
2;FAPU;0;S;S
2;FAMCIS;0;S;S
2;FASAT;0;S;S
3;ENERC;1261,40;S;S
3;CHOAVL;74,100;S;S
3;FAT;0;F;E
3;PROT;0,10;I;E
3;FIBC;0;S;U
3;STARCH;0;S;U
3;SUGAR;74,100;S;S
3;RIBF;0,010;F;E
3;THIA;0;F;E
3;VITC;0;F;E
3;VITA;0;S;S
3;VITD;0;F;E
3;VITE;0;S;S
3;CA;74,00;F;E
3;FE;2,500;F;E
3;NA;50,00;I;E
3;FACIDCTG;0;S;S
3;FAPU;0;S;S
3;FAMCIS;0;S;S
3;FASAT;0;S;S
4;ENERC;1382,10;S;S
4;CHOAVL;80,800;S;S
4;FAT;0;F;E
4;PROT;0,50;S;S
4;FIBC;0;S;U
4;STARCH;0;S;U
4;SUGAR;80,800;S;S
4;RIBF;0,040;F;E
4;THIA;0,0100;F;E
4;VITC;4,00;F;E
4;VITA;0;S;S
4;VITD;0;F;E
4;VITE;0;S;S
4;CA;5,00;F;E
4;FE;0,500;F;E
4;NA;2,20;F;E
4;FACIDCTG;0;S;S
4;FAPU;0;S;S
4;FAMCIS;0;S;S
4;FASAT;0;S;S
5;ENERC;1487,50;S;S
5;CHOAVL;87,000;S;S
5;FAT;0;F;E
5;PROT;0,5;S;I
5;FIBC;0;S;U
5;STARCH;33,50;S;IG
5;SUGAR;53,500;S;S
5;RIBF;0;F;E
5;THIA;0;F;E
5;VITC;0;F;E
5;VITA;0;S;S
5;VITD;0;F;E
5;VITE;0;S;S
5;CA;7,00;F;E
5;FE;1,450;F;E
5;NA;100,00;F;E
5;FACIDCTG;0;S;S
5;FAPU;0;S;S
5;FAMCIS;0;S;S
5;FASAT;0;S;S
6;ENERC;2180,61;S;S
6;CHOAVL;53,900;S;S
6;FAT;28,900;S;CG
6;PROT;10,13;S;S
6;FIBC;2,200;S;CG
6;STARCH;3,00;S;IG
6;SUGAR;50,900;S;S
6;RIBF;0,090;F;E
6;THIA;0,0700;F;E
6;VITC;0;F;E
6;VITA;104,00;S;S
6;VITD;0;F;E
6;VITE;0,480;S;S
6;CA;277,00;F;E
6;FE;1,500;F;E
6;NA;120,00;F;E
6;FACIDCTG;28,240;S;R
6;FAPU;0,910;S;R
6;FAMCIS;9,0085;S;R
6;FASAT;17,0345;S;R
7;ENERC;1771,12;S;S
7;CHOAVL;69,600;S;S
7;FAT;13,400;L;P
7;PROT;5,22;S;S
7;FIBC;0;S;U
7;STARCH;5,00;S;IG
7;SUGAR;64,600;S;S
7;RIBF;0,260;F;E
7;THIA;0,0500;F;E
7;VITC;0;F;E
7;VITA;52,11;S;S
7;VITD;0;F;E
7;VITE;0,288;S;S
7;CA;127,00;F;E
7;FE;1,900;F;E
7;NA;48,00;F;E
7;FACIDCTG;14,128;S;R
7;FAPU;0,461;S;R
7;FAMCIS;4,5052;S;R
7;FASAT;8,5184;S;R
8;ENERC;1587,06;S;S
8;CHOAVL;77,000;F;E
8;FAT;5,200;S;CG
8;PROT;4,38;S;S
8;FIBC;1,400;S;CG
8;STARCH;15,00;S;IG
8;SUGAR;33,300;S;S
8;RIBF;0;F;E
8;THIA;0;F;E
8;VITC;0;F;E
8;VITA;0;S;S
8;VITD;0;F;E
8;VITE;0;S;S
8;CA;73,00;F;E
8;FE;1,371;S;R
8;NA;600,00;L;P
8;FACIDCTG;0;S;S
8;FAPU;0;S;S
8;FAMCIS;0;S;S
8;FASAT;0;S;S
9;ENERC;1299,69;S;S
9;CHOAVL;75,000;S;S
9;FAT;0,1;L;P
9;PROT;0,10;S;S
9;FIBC;1,8;L;CG
9;STARCH;15;L;P
9;SUGAR;60,000;S;S
9;RIBF;0,010;F;E
9;THIA;0;F;E
9;VITC;1,00;F;E
9;VITA;0,82;S;S
9;VITD;0;F;E
9;VITE;0,297;S;S
9;CA;9,00;F;E
9;FE;0,300;F;E
9;NA;72,00;F;E
9;FACIDCTG;0;S;T
9;FAPU;0;F;E
9;FAMCIS;0;F;E
9;FASAT;0;F;E
10;ENERC;1908,53;S;S
10;CHOAVL;47,600;S;S
10;FAT;23,400;F;E
10;PROT;12,89;S;S
10;FIBC;1,800;S;CG
10;STARCH;5,40;S;IG
10;SUGAR;42,200;S;S
10;RIBF;0,360;F;E
10;THIA;0,1100;F;E
10;VITC;0;F;E
10;VITA;0,13;S;S
10;VITD;0;F;E
10;VITE;13,855;S;S
10;CA;140;S;IG
10;FE;2,5;S;IG
10;NA;50,00;F;E
10;FACIDCTG;17,949;S;R
10;FAPU;4,310;S;R
10;FAMCIS;11,4262;S;R
10;FASAT;1,4237;S;R
11;ENERC;1750,67;S;S
11;CHOAVL;74,300;S;S
11;FAT;12,3;L;P
11;PROT;1,91;S;S
11;FIBC;0;S;U
11;STARCH;0;S;IG
11;SUGAR;74,300;S;S
11;RIBF;0,100;F;E
11;THIA;0;F;E
11;VITC;0;F;E
11;VITA;21,23;S;S
11;VITD;0;F;E
11;VITE;0,209;S;S
11;CA;64,00;F;E
11;FE;0,800;F;E
11;NA;170,00;F;E
11;FACIDCTG;11,398;S;R
11;FAPU;0,268;S;R
11;FAMCIS;0,9894;S;R
11;FASAT;9,8019;S;R
12;ENERC;1240,10;S;S
12;CHOAVL;63,000;S;S
12;FAT;0,2;L;P
12;PROT;0,1;L;P
12;FIBC;20;L;P
12;STARCH;30;L;P
12;SUGAR;33,000;S;S
12;RIBF;0;F;E
12;THIA;0;F;E
12;VITC;0;S;U
12;VITA;0;S;S
12;VITD;0;S;U
12;VITE;0;S;S
12;CA;31,00;F;E
12;FE;1,800;F;E
12;NA;160,00;L;P
12;FACIDCTG;0,1046;S;S
12;FAPU;0;S;S
12;FAMCIS;0;S;S
12;FASAT;0,1;L;P
14;ENERC;2184,17;S;S
14;CHOAVL;56,000;L;P
14;FAT;28,000;L;P
14;PROT;10,13;S;S
14;FIBC;3,450;S;R
14;STARCH;1,43;S;R
14;SUGAR;50,200;S;R
14;RIBF;0,271;S;R
14;THIA;0,0363;S;R
14;VITC;0;S;R
14;VITA;60,03;S;S
14;VITD;0;S;R
14;VITE;2,036;S;S
14;CA;225,00;S;R
14;FE;2,750;S;R
14;NA;55,00;S;R
14;FACIDCTG;27,473;S;R
14;FAPU;0,972;S;R
14;FAMCIS;8,7264;S;R
14;FASAT;16,5440;S;R
20;ENERC;1547,60;S;S
20;CHOAVL;11,000;S;S
20;FAT;21,7;F;E
20;PROT;18,5;F;E
20;FIBC;30,4;F;E
20;STARCH;11;F;E
20;SUGAR;0;S;S
20;RIBF;0,200;F;E
20;THIA;0,0100;F;E
20;VITC;0;F;E
20;VITA;0;S;S
20;VITD;0;F;E
20;VITE;0,150;S;S
20;CA;105,00;F;E
20;FE;11,000;F;E
20;NA;35;F;E
20;FACIDCTG;16,8547;S;S
20;FAPU;0,5692;S;S
20;FAMCIS;5,4902;S;S
20;FASAT;10,0540;S;S
21;ENERC;1770,26;S;S
21;CHOAVL;77,400;S;S
21;FAT;9,500;F;E
21;PROT;5,68;S;S
21;FIBC;0,800;S;CG
21;STARCH;3,6;F;E
21;SUGAR;73,800;S;S
21;RIBF;0,070;F;E
21;THIA;0;F;E
21;VITC;0;F;E
21;VITA;0;S;S
21;VITD;0;F;E
21;VITE;0,045;S;S
21;CA;32,00;F;E
21;FE;4,400;F;E
21;NA;100,00;F;E
21;FACIDCTG;5,056;S;R
21;FAPU;0,171;S;R
21;FAMCIS;1,6471;S;R
21;FASAT;3,0162;S;R
24;ENERC;1000,00;S;S
24;CHOAVL;0;S;S
24;FAT;0;F;E
24;PROT;0;S;S
24;FIBC;0;S;IG
24;STARCH;0;F;E
24;SUGAR;0;S;U
24;RIBF;0;F;E
24;THIA;0;F;E
24;VITC;0;F;E
24;VITA;0;S;S
24;VITD;0;F;E
24;VITE;0;S;S
24;CA;0;F;E
24;FE;0;F;E
24;NA;0;F;E
24;FACIDCTG;0;S;S
24;FAPU;0;S;S
24;FAMCIS;0;S;S
24;FASAT;0;S;S
25;ENERC;1459,41;S;S
25;CHOAVL;0;S;S
25;FAT;0,100;F;E
25;PROT;85,63;S;S
25;FIBC;0;S;U
25;STARCH;0;S;U
25;SUGAR;0;S;S
25;RIBF;0;F;E
25;THIA;0;F;E
25;VITC;0;F;E
25;VITA;0;S;S
25;VITD;0;F;E
25;VITE;0;S;S
25;CA;0;F;E
25;FE;0;F;E
25;NA;0;F;E
25;FACIDCTG;0;S;S
25;FAPU;0;S;S
25;FAMCIS;0;S;S
25;FASAT;0;S;S
26;ENERC;311,74;S;S
26;CHOAVL;1,100;S;S
26;FAT;0,400;F;E
26;PROT;13,12;S;S
